 ,Label,Area,Mean,Min,Max,X,Y,Ch,Frame
3343,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,56.602,0.238,0,11,171.038,243.124,4,5
3344,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,80.821,41.775,0,113,121.061,227.729,4,5
3345,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.502,0.313,0,11,183.521,338.721,4,5
3346,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,36.512,0.344,0,11,456.874,156.475,4,5
3347,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,33.393,1.173,0,17,553.166,3.566,4,5
3348,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,79.812,20.054,0,71,155.459,591.584,4,5
3349,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,34.310,0.425,0,11,327.891,508.475,4,5
3350,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,41.924,0.814,0,11,281.374,310.639,4,5
3351,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,42.842,0.246,0,5,255.195,208.326,4,5
3352,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,42.750,0.981,0,17,500.695,433.124,4,5
3353,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.044,0.382,0,11,576.424,192.532,4,5
3354,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,36.787,0.332,0,11,248.433,30.484,4,5
3355,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,66.602,9.862,0,41,417.570,230.905,4,5
3356,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,39.355,0.186,0,5,44.965,468.605,4,5
3357,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,50.639,17.799,0,59,166.704,41.421,4,5
3358,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,34.493,0.213,0,5,272.091,535.284,4,5
3359,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,93.114,87.629,5,227,356.784,358.381,4,5
3360,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,36.970,0.883,0,11,221.942,419.242,4,5
3361,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,38.163,0.389,0,11,175.255,355.087,4,5
